Pc,HPFTP_w,HPOTP_w,LPFTP_w,LPOTP_w,PBOBP_w,Pc_FPB,Pc_OPB,MFV_m,MOV_m,OPOV_m,FPOV_m,T_Nozzle_Cooling_exit,HGM_Temp,Man_OX_Temp,Man_H2_Temp,Man_MCC_COOL_Pres,HPFTP_p_pump_out,HPOTP_p_pump_out,LPFTP_p_pump_out,LPOTP_p_pump_out,PBOBP_p_pump_out,HPFTP_T_turb_inlet,HPOTP_T_turb_inlet,LPFTP_T_turb_inlet,LPOTP_T_turb_inlet
193.19,44112,27109,28970,4103.3,27109,373.19,346.53,74.081,377.28,11.957,32.281,234.38,671.55,108.48,62.074,218.23,410.526,291.871,33.8246,18.7913,542.428,939.861,599.675,417.858,105.422
193.87,44230,27268,29171,4135.7,27268,375.05,348.32,74.559,377.7,12.153,32.514,234.21,673.01,108.84,62.164,219.08,412.27,296.168,34.3305,19.0963,549.009,942.024,612.056,407.402,105.68
194.62,44543,27508,29246,4176.3,27508,377.26,351.02,74.587,379.39,12.359,32.916,235.9,680.81,109.95,63.2,219.8,415.091,300.407,34.1932,19.3245,555.858,954.269,619.807,409.681,106.582
193.57,44049,27200,29088,4116.4,27200,373.06,347.12,74.095,378.37,12.06,32.244,235.19,672.37,109.1,61.885,218.49,410.438,292.756,34.2401,18.8054,544.461,941.175,607.513,411.589,105.942
193.01,44054,27087,29245,4096.8,27087,371.63,344.8,73.994,377.07,11.946,32.122,236.09,670.43,108.89,62.171,217.69,408.54,290.362,34.5207,18.6762,540.244,941.042,608.254,404.671,105.793
193.37,44509,27397,29194,4161.8,27397,376.08,348.6,74.636,375.57,12.207,32.754,234.76,676.14,110.58,63.081,218.81,413.865,298.023,34.0389,19.2789,550.752,945.49,615.244,409.262,107.153
195.17,44537,27350,29218,4142.6,27350,377.49,351.02,74.069,382.71,12.301,32.926,237.16,685.07,107.5,63.561,220.48,414.762,298.107,34.047,19.0667,553.256,960.602,619.626,414.654,104.488
194.37,44245,27242,29179,4126.8,27242,374.8,348.48,74.267,380.13,12.156,32.495,235.3,675.58,107.85,62.488,219.16,411.44,295.774,34.2404,18.9934,549.397,945.532,612.65,410.966,104.82
193.68,44319,27232,29165,4123.4,27232,374.15,347.56,74.198,378.16,12.058,32.511,235.62,675.16,109.16,62.84,218.53,410.98,293.739,34.0449,18.8811,545.42,949.073,605.39,412.462,105.979
194.96,44423,27386,29281,4156.7,27386,377.77,350.71,74.884,379.79,12.331,32.866,235.89,677.19,108.37,62.546,220.36,415.07,299.614,34.519,19.2823,554.572,947.746,621.624,403.849,105.23
194.18,44153,27296,29040,4126.8,27296,373.16,348.21,73.409,381.89,12.176,32.298,236.62,680.78,108.81,62.721,218.71,411.092,294.043,33.9045,18.7736,547.972,949.232,615.712,420.718,105.673
194.2,44315,27214,29138,4121.6,27214,375.45,348.28,74.268,379.52,12.13,32.58,235.49,676.33,107.94,62.647,219.26,412.874,294.939,34.1073,18.9455,547.557,945.104,612.661,412.894,104.909
194.15,44168,27127,29184,4106.9,27127,374.78,348.22,74.161,379.81,12.075,32.512,236.12,675.66,106.93,62.224,219.56,412.319,294.1,34.4269,18.8924,546.358,951.394,608.274,407.833,104.045
193.59,44255,27303,29148,4136.3,27303,373.99,347.57,74.049,378.31,12.16,32.395,236,676.17,109.66,62.692,218.54,411.088,294.962,34.0947,18.9637,547.705,942.266,616.836,412.58,106.399
193.85,44091,27234,29297,4121,27234,373.26,348.01,74.058,379.16,12.09,32.412,236.65,675.54,109.05,62.124,219.04,411.243,293.341,34.7702,18.8157,545.385,958.127,607.561,401.898,105.891
